iter	MultiClass
0	1.675467888
1	1.582883888
2	1.503780043
3	1.429188678
4	1.362239651
5	1.303524104
6	1.25161029
7	1.199261762
8	1.158064015
9	1.115533129
10	1.08069415
11	1.044786789
12	1.011314124
13	0.9771016084
14	0.9425841519
15	0.9077788265
16	0.8843366023
17	0.8590637539
18	0.8373140578
19	0.817181973
20	0.7937016433
21	0.7767259242
22	0.7573611274
23	0.7374727406
24	0.7207675997
25	0.7076904529
26	0.6913294983
27	0.6763187685
28	0.6552705396
29	0.6443707564
30	0.6296681453
31	0.6189537211
32	0.6042392137
33	0.5891307535
34	0.577436986
35	0.5692209211
36	0.5585322227
37	0.5490922266
38	0.535376155
39	0.5255275673
40	0.5187842712
41	0.5111702417
42	0.5052695049
43	0.5001038731
44	0.4946547527
45	0.4871037918
46	0.4788574691
47	0.4724266918
48	0.4668108605
49	0.4614226962
50	0.4550216705
51	0.4482498802
52	0.4408686849
53	0.4326221931
54	0.4279802839
55	0.4229865295
56	0.4180164924
57	0.4150334313
58	0.4107042803
59	0.4056968768
60	0.3991262316
61	0.3953851495
62	0.3898746841
63	0.3863373073
64	0.3832642161
65	0.3780919242
66	0.3722897408
67	0.3673593121
68	0.3648874403
69	0.3618424572
70	0.3571755194
71	0.3552356548
72	0.3532144763
73	0.3501616665
74	0.3478567233
75	0.3453715003
76	0.3432667164
77	0.341456171
78	0.3386622165
79	0.3361773688
80	0.3341654571
81	0.3292436133
82	0.3271115305
83	0.325029708
84	0.3237240614
85	0.3211012096
86	0.3196894129
87	0.3183373549
88	0.3164398401
89	0.31433169
90	0.3127839486
91	0.3120681476
92	0.3102560273
93	0.3088998238
94	0.3046134882
95	0.3037249859
96	0.3021727643
97	0.2982594762
98	0.2970462809
99	0.2954025906
100	0.2947644407
101	0.2920224204
102	0.2909967166
103	0.2894921963
104	0.2882272007
105	0.2868878732
106	0.2847628768
107	0.2841878993
108	0.2834666952
109	0.2820842828
110	0.2810898288
111	0.2801843504
112	0.2790810825
113	0.277821127
